name,group
YCR022C,240
YCR024C,241
YCR025C,146
YCR028C,213
YCR029C,242
YCR031C,115
YCR032W,243
YCR034W,183
YCR036W,100
YCR037C,244
YCR038C,245
YCR041W,231
YCR042C,187
YCR043C,246
YCR044C,235
YCR047C,201
YCR049C,99
YCR051W,247
YCR056W,248
YCR057C,249
YCR058C,249
YCR059C,96
YCR060W,250
YCR061W,251
YCR062W,241
YCR063W,252
YCR065W,253
YCR066W,186
YCR072C,193
YCR073C,254
YCR074C,255
YCR075C,256
YCR079W,257
YCR081W,217
YCR083W,135
YCR085W,258
YCR086W,258
YCR087W,96
YCR090C,199
YCR091W,259
YCR094W,95
YCR096C,260
YCR098C,261
YCR099C,87
YCR102C,11
YCR107W,195
YCRX07W,157
YCRX15W,262
YCRX16C,96
YDL002C,213
YDL003W,263
YDL004W,264
YDL006W,265
YDL008W,228
YDL009C,266
YDL010W,230
YDL011C,230
YDL012C,267
YDL013W,268
YDL018C,81
YDL021W,269
YDL022W,30
YDL023C,30
YDL025C,270
YDL027C,271
YDL030W,272
YDL031W,96
YDL034W,262
YDL035C,257
YDL038C,273
YDL039C,273
YDL042C,36
YDL043C,231
YDL045C,48
YDL047W,57
YDL048C,114
YDL051W,274
YDL055C,275
YDL057W,269
YDL058W,99
YDL059C,276
YDL061C,277
YDL062W,103
YDL063C,103
YDL069C,74
YDL070W,118
YDL071C,278
YDL075W,115
YDL076C,272
YDL077C,167
YDL079C,279
YDL081C,280
YDL082W,281
YDL083C,280
YDL086W,282
YDL092W,8
YDL093W,147
YDL096C,283
YDL098C,153
YDL099W,284
YDL102W,285
YDL103C,286
YDL105W,287
YDL109C,288
YDL110C,132
YDL113C,289
YDL116W,290
YDL118W,55
YDL119C,11
YDL124W,291
YDL127W,81
YDL129W,292
YDL130W,2
YDL136W,280
YDL140C,293
YDL141W,67
YDL142C,241
YDL143W,176
YDL146W,294
YDL150W,200
YDL151C,295
YDL152W,272
YDL153C,296
YDL154W,188
YDL156W,43
YDL157C,297
YDL158C,297
YDL160C,298
YDL164C,43
YDL166C,299
YDL167C,222
YDL168W,157
YDL169C,26
YDL174C,300
YDL175C,217
YDL179W,301
YDL181W,302
YDL182W,303
YDL186W,304
YDL187C,305
YDL189W,306
YDL191W,162
YDL192W,156
YDL197C,307
YDL198C,308
YDL199C,309
YDL202W,310
YDL204W,311
YDL205C,312
YDL206W,179
YDL208W,303
YDL210W,313
YDL211C,314
YDL215C,315
YDL216C,123
YDL219W,275
YDL221W,316
YDL222C,317
YDL227C,318
YDL228C,115
YDL229W,162
YDL230W,319
YDL231C,320
YDL232W,293
YDL233W,71
YDL234C,74
YDL239C,1
YDL240W,321
YDL242W,155
YDL243C,322
YDL244W,322
YDL245C,118
YDL246C,269
YDL247W,323
YDL248W,167
YDR004W,42
YDR006C,201
YDR009W,60
YDR011W,324
YDR012W,281
YDR013W,325
YDR014W,111
YDR016C,326
YDR017C,200
YDR018C,327
YDR019C,235
YDR020C,272
YDR022C,239
YDR025W,281
YDR029W,312
YDR033W,328
YDR035W,191
YDR038C,329
YDR039C,329
YDR042C,124
YDR044W,240
YDR045C,62
YDR046C,330
YDR048C,331
YDR050C,332
YDR055W,301
YDR057W,333
YDR058C,138
YDR059C,18
YDR060W,334
YDR064W,332
YDR065W,335
YDR070C,336
YDR071C,120
YDR074W,11
YDR076W,217
YDR079W,337
YDR080W,190
YDR082W,207
YDR083W,222
YDR085C,338
YDR091C,339
YDR094W,62
YDR097C,148
YDR098C,340
YDR103W,341
YDR104C,341
YDR105C,170
YDR108W,188
YDR109C,342
YDR111C,78
YDR112W,147
YDR113C,343
YDR114C,344
YDR116C,310
YDR118W,217
YDR120C,320
YDR121W,345
YDR122W,346
YDR126W,347
YDR130C,348
YDR132C,190
YDR133C,116
YDR134C,275
YDR141C,349
YDR142C,217
YDR143C,350
YDR146C,351
YDR148C,352
YDR149C,154
YDR150W,203
YDR151C,217
YDR152W,353
YDR154C,354
YDR155C,354
YDR156W,355
YDR157W,96
YDR158W,191
YDR160W,296
YDR162C,356
YDR165W,357
YDR168W,309
YDR169C,152
YDR170C,358
YDR171W,359
YDR172W,62
YDR173C,360
YDR178W,270
YDR180W,361
YDR181C,217
YDR183W,285
YDR184C,193
YDR185C,342
YDR187C,84
YDR188W,362
YDR191W,172
YDR193W,167
YDR194C,363
YDR195W,272
YDR197W,363
YDR198C,190
YDR202C,364
YDR203W,365
YDR204W,300
YDR206W,366
YDR207C,367
YDR210W,293
YDR211W,345
YDR212W,175
YDR213W,362
YDR214W,178
YDR216W,368
YDR218C,54
YDR219C,369
YDR222W,370
YDR223W,371
YDR224C,275
YDR225W,275
YDR227W,348
YDR230W,372
YDR231C,309
YDR234W,320
YDR235W,188
YDR236C,333
YDR240C,237
YDR241W,123
YDR244W,373
YDR246W,374
YDR247W,171
YDR249C,375
YDR252W,376
YDR253C,276
YDR254W,369
YDR255C,348
YDR256C,130
YDR257C,315
YDR258C,291
YDR259C,237
YDR260C,342
YDR262W,333
YDR263C,377
YDR270W,364
YDR271C,378
YDR272W,273
YDR273W,379
YDR274C,380
YDR275W,207
YDR276C,381
YDR277C,209
YDR279W,314
YDR281C,382
YDR282C,294
YDR284C,383
YDR286C,384
YDR287W,385
YDR288W,375
YDR289C,386
YDR294C,270
YDR295C,186
YDR296W,387
YDR297W,362
YDR299W,207
YDR300C,375
YDR301W,388
YDR302W,386
YDR305C,372
YDR309C,389
YDR311W,217
YDR312W,296
YDR313C,217
YDR314C,390
YDR316W,100
YDR321W,391
YDR322W,392
YDR323C,393
YDR324C,320
YDR325W,394
YDR326C,394
YDR327W,381
YDR329C,79
YDR330W,309
YDR331W,283
YDR336W,217
YDR337W,202
YDR338C,319
YDR339C,222
YDR342C,395
YDR343C,395
YDR345C,57
YDR347W,392
YDR350C,373
YDR351W,188
YDR352W,345
YDR353W,156
YDR356W,314
YDR357C,396
YDR358W,397
YDR361C,398
YDR362C,399
YDR363W,400
YDR364C,375
YDR365C,222
YDR366C,401
YDR369C,402
YDR371W,356
YDR373W,403
YDR374C,379
YDR375C,404
YDR378C,222
YDR379W,333
YDR380W,235
YDR381W,405
YDR382W,236
YDR383C,270
YDR384C,130
YDR385W,280
YDR386W,370
YDR387C,217
YDR388W,284
YDR389W,394
YDR390C,367
YDR391C,336
YDR392W,342
YDR394W,352
YDR400W,391
YDR401W,379
YDR403W,406
YDR405W,407
YDR409W,408
YDR411C,368
YDR413C,292
YDR414C,217
YDR415C,409
YDR416W,315
YDR417C,156
YDR418W,156
YDR419W,322
YDR421W,364
YDR423C,410
YDR424C,411
YDR425W,372
YDR428C,412
YDR430C,392
YDR432W,191
YDR433W,405
YDR435C,309
YDR436W,271
YDR438W,408
YDR440W,413
YDR441C,414
YDR443C,415
YDR444W,416
YDR447C,280
YDR448W,417
YDR449C,353
YDR450W,280
YDR451C,418
YDR453C,379
YDR456W,419
YDR457W,191
YDR461W,60
YDR464W,420
YDR465C,421
YDR466W,409
YDR469W,386
YDR470C,333
YDR471W,280
YDR473C,217
YDR476C,385
YDR477W,394
YDR478W,386
YDR479C,422
YDR485C,423
YDR487C,337
YDR488C,424
YDR489W,361
YDR490C,407
YDR491C,414
YDR492W,401
YDR493W,425
YDR494W,387
YDR495C,344
YDR499W,423
YDR500C,280
YDR501W,391
YDR503C,81
YDR504C,426
YDR505C,308
YDR506C,427
YDR507C,266
YDR511W,428
YDR512C,337
YDR513W,337
YDR514C,375
YDR516C,429
YDR517W,430
YDR518W,426
YDR519W,120
YDR521W,170
YDR523C,323
YDR524C,306
YDR525W,381
YDR526C,409
YDR527W,409
YDR528W,285
YDR529C,156
YDR530C,367
YDR531W,381
YDR532C,431
YDR537C,432
YDR538W,432
YDR539W,419
YDR540C,433
YDR541C,360
YDR542W,426
YDR543C,292
YDR544C,388
YDR545W,280
YEL003W,434
YEL004W,300
YEL005C,198
YEL006W,435
YEL007W,436
YEL011W,437
YEL015W,103
YEL016C,438
YEL017W,439
YEL018W,416
YEL021W,440
YEL023C,441
YEL024W,442
YEL025C,166
YEL026W,443
YEL032W,187
YEL034W,444
YEL037C,445
YEL039C,446
YEL042W,434
YEL043W,447
YEL046C,19
YEL047C,448
YEL048C,110
YEL051W,445
YEL052W,191
YEL053C,449
YEL055C,450
YEL056W,451
YEL057C,140
YEL061C,452
YEL062W,453
YEL064C,377
YEL065W,454
YEL070W,198
YEL072W,455
YEL073C,3
YEL074W,140
YEL076C,456
YEL077C,457
YER001W,343
YER003C,78
YER005W,304
YER007W,458
YER009W,459
YER011W,460
YER012W,451
YER014W,40
YER016W,78
YER017C,461
YER018C,46
YER019W,462
YER020W,463
YER022W,464
YER028C,465
YER032W,254
YER033C,466
YER034W,298
YER042W,467
YER047C,258
YER053C,446
YER054C,359
YER056C,445
YER058W,378
YER060W,285
YER062C,221
YER064C,203
YER065C,468
YER067W,169
YER068W,469
YER069W,418
YER070W,263
YER071C,470
YER074W,471
YER075C,472
YER079W,446
YER081W,240
