name,group
YCR022C,22
YCR024C,1
YCR025C,1
YCR028C,1
YCR029C,5
YCR031C,
YCR032W,104
YCR034W,1
YCR036W,1
YCR037C,1
YCR038C,1
YCR041W,1
YCR042C,5
YCR043C,1
YCR044C,6
YCR047C,5
YCR049C,1
YCR051W,8
YCR056W,1
YCR057C,29
YCR058C,8
YCR059C,50
YCR060W,56
YCR061W,1
YCR062W,1
YCR063W,1
YCR065W,5
YCR066W,1
YCR072C,50
YCR073C,1
YCR074C,1
YCR075C,7
YCR079W,1
YCR081W,84
YCR083W,4
YCR085W,7
YCR086W,29
YCR087W,5
YCR090C,1
YCR091W,1
YCR094W,1
YCR096C,1
YCR098C,109
YCR099C,1
YCR102C,0
YCR107W,1
YCRX07W,1
YCRX15W,1
YCRX16C,5
YDL002C,1
YDL003W,28
YDL004W,1
YDL006W,5
YDL008W,50
YDL009C,66
YDL010W,6
YDL011C,1
YDL012C,29
YDL013W,1
YDL018C,6
YDL021W,1
YDL022W,1
YDL023C,1
YDL025C,1
YDL027C,1
YDL030W,51
YDL031W,
YDL034W,1
YDL035C,1
YDL038C,1
YDL039C,4
YDL042C,24
YDL043C,1
YDL045C,1
YDL047W,1
YDL048C,1
YDL051W,98
YDL055C,5
YDL057W,1
YDL058W,1
YDL059C,1
YDL061C,2
YDL062W,38
YDL063C,1
YDL069C,1
YDL070W,1
YDL071C,0
YDL075W,2
YDL076C,51
YDL077C,1
YDL079C,1
YDL081C,2
YDL082W,2
YDL083C,2
YDL086W,1
YDL092W,
YDL093W,1
YDL096C,0
YDL098C,1
YDL099W,1
YDL102W,4
YDL103C,5
YDL105W,6
YDL109C,0
YDL110C,1
YDL113C,1
YDL116W,50
YDL118W,
YDL119C,0
YDL124W,1
YDL127W,5
YDL129W,29
YDL130W,2
YDL136W,2
YDL140C,56
YDL141W,1
YDL142C,1
YDL143W,1
YDL146W,1
YDL150W,74
YDL151C,38
YDL152W,5
YDL153C,5
YDL154W,78
YDL156W,28
YDL157C,1
YDL158C,1
YDL160C,1
YDL164C,6
YDL166C,5
YDL167C,5
YDL168W,1
